datetime,region,respiratory_illness_cases,hospital_admissions
2023-01-16 21:00:00,Sharjah,42,32
2021-11-05 03:00:00,Dubai,45,43
2020-07-11 06:00:00,Fujairah,7,33
2021-12-30 04:00:00,Dubai,86,15
2020-06-27 19:00:00,Sharjah,71,44
2020-09-09 02:00:00,Fujairah,77,9
2021-03-22 10:00:00,Sharjah,41,29
2022-01-19 00:00:00,Sharjah,72,43
2020-04-19 19:00:00,Sharjah,63,25
2022-01-09 06:00:00,Dubai,20,40
2022-10-03 00:00:00,Abu Dhabi,57,34
2020-07-07 11:00:00,Abu Dhabi,76,7
2021-07-19 01:00:00,Abu Dhabi,69,38
2021-01-29 01:00:00,Dubai,73,31
2020-04-09 14:00:00,Abu Dhabi,81,15
2021-10-04 13:00:00,Ajman,96,27
2021-02-03 02:00:00,Fujairah,40,19
2020-10-23 12:00:00,Ajman,10,20
2020-11-23 02:00:00,Ajman,1,28
2020-01-04 16:00:00,Abu Dhabi,79,35
2020-08-17 20:00:00,Abu Dhabi,75,7
2020-05-17 00:00:00,Ajman,33,49
2022-08-15 21:00:00,Abu Dhabi,26,39
2021-02-21 02:00:00,Dubai,71,14
2020-07-29 11:00:00,Abu Dhabi,69,44
2020-12-04 09:00:00,Sharjah,47,19
2021-09-12 15:00:00,Abu Dhabi,78,2
2021-01-13 08:00:00,Fujairah,57,48
2022-08-28 14:00:00,Abu Dhabi,37,41
2020-12-06 05:00:00,Fujairah,24,12
2020-02-05 17:00:00,Ajman,27,0
2022-10-20 06:00:00,Dubai,6,36
2020-02-13 18:00:00,Dubai,18,33
2020-03-04 16:00:00,Fujairah,69,42
2020-07-21 03:00:00,Dubai,3,25
2023-06-02 04:00:00,Fujairah,34,44
2021-04-05 19:00:00,Ajman,11,34
2022-07-26 20:00:00,Dubai,95,9
2020-03-20 10:00:00,Abu Dhabi,96,49
2021-02-04 15:00:00,Dubai,63,10
2021-07-26 18:00:00,Fujairah,44,41
2023-02-04 11:00:00,Ajman,93,15
2023-01-03 00:00:00,Fujairah,48,40
2020-02-15 22:00:00,Sharjah,10,45
2022-10-28 21:00:00,Abu Dhabi,2,40
2021-12-25 04:00:00,Sharjah,63,14
2022-12-24 19:00:00,Fujairah,9,10
2023-05-14 16:00:00,Fujairah,9,12
2020-05-14 20:00:00,Fujairah,8,47
2021-10-19 09:00:00,Ajman,37,6
2020-11-17 11:00:00,Sharjah,55,8
2022-04-29 04:00:00,Sharjah,6,43
2022-05-03 22:00:00,Ajman,61,7
2020-07-04 00:00:00,Ajman,37,8
2023-05-14 08:00:00,Dubai,40,5
2022-08-31 20:00:00,Ajman,96,3
2022-12-01 22:00:00,Ajman,60,46
2020-02-21 10:00:00,Fujairah,86,22
2022-11-17 05:00:00,Abu Dhabi,31,28
2022-06-14 01:00:00,Dubai,59,26
2021-11-10 18:00:00,Abu Dhabi,83,35
2021-05-16 03:00:00,Ajman,18,34
2023-05-09 04:00:00,Fujairah,57,20
2022-12-21 23:00:00,Dubai,47,26
2022-04-15 09:00:00,Abu Dhabi,55,3
2022-09-23 05:00:00,Sharjah,42,1
2021-07-04 10:00:00,Ajman,40,21
2023-03-21 08:00:00,Dubai,62,8
2022-05-27 05:00:00,Ajman,3,45
2023-01-11 14:00:00,Abu Dhabi,71,12
2023-02-23 06:00:00,Sharjah,49,7
2021-06-21 05:00:00,Fujairah,22,15
2020-05-21 23:00:00,Sharjah,93,40
2022-01-10 02:00:00,Sharjah,27,39
2021-05-03 16:00:00,Abu Dhabi,39,40
2020-01-18 09:00:00,Ajman,22,2
2021-07-03 18:00:00,Ajman,85,25
2020-11-23 04:00:00,Abu Dhabi,6,1
2023-03-05 07:00:00,Dubai,6,2
2020-03-24 15:00:00,Dubai,5,9
2020-01-30 06:00:00,Ajman,81,34
2020-10-16 23:00:00,Ajman,7,3
2020-05-05 09:00:00,Ajman,16,32
2022-12-02 08:00:00,Abu Dhabi,28,28
2021-12-29 20:00:00,Ajman,45,11
2020-05-10 13:00:00,Sharjah,81,45
2022-07-03 19:00:00,Fujairah,44,6
2021-08-22 18:00:00,Ajman,94,32
2021-05-12 02:00:00,Fujairah,84,49
2020-07-04 13:00:00,Ajman,39,45
2020-04-26 12:00:00,Dubai,32,2
2022-10-14 00:00:00,Dubai,69,8
2021-05-14 04:00:00,Abu Dhabi,97,48
2020-09-04 15:00:00,Abu Dhabi,51,44
2023-01-30 02:00:00,Sharjah,3,26
